Device_Index,Year,DOI,SP_Mw (kg/mol),SP_Mn (kg/mol),SP_PDI,Solvent_1,Solvent_1_BP (C),Solvent_2,Solvent_2_BP (C),Solvent_VF1 (%),SP_Concentration (g/L),Insulating_Matrix,IM_Concentration (mg/ml),IM_MW (kg/mol),IM_PDI,SP_Blend (wt%),Solution_Processing_Environment,Substrate_Type,Dielectric_Material_1,Dielectric_Material_1_Thickness (nm),Dielectric_Material_2,Dielectric_Material_2_Thickness (nm),Source/Drain_Electrode_Material,Chanel_Width (μm),Chanel_Length (μm),Capacitance_Per_Unit_Area (nF/cm2),Substrate_Treatment,Deposition_Type,Spin_Rate (rpm),Spin_Time (s),Blade_Speed (mm/s),Blade_Height (um),Blade_Angle (degrees),Channel_Orientation_WRT_Coating_Direction,Stage_Temperature (C),Anneal_Temperature (C),Anneal_Time (hr),Annealing Environment,Deposition_Environment,OFET_Configuration,OFET_Regime,Film_Thickness (nm),Average_OFET_Hole_Mobility (cm2/Vs),STDEV_OFET_Hole Mobility (cm2/Vs),Average_OFET_Electron_Mobility (cm2/Vs),STDEV_OFET_Electron_Mobility (cm2/Vs),Vth_Hole (V),Vth_Electron (V),Ion/Ioff,Mobility_Charaterization_Environment,SS (V/Decade),Transfer_Curve _Vds,Transfer_Curve_Vg_min (V),Transfer_Curve_Vg_max (V),Output Curve_Vg_min (V),Output_Curve _Vg_max (V),Output_Curve_Vd_min (V),Output_Curve_Vd_max (V)
31,2012,10.1038/srep00754 ,501,110,4.55,C6H5CL,132,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,PET,PAN,800,PMSQ,50,Au,7000,70,11.5,OTS-18,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,0.5,Ambient,Ambient,BGBC,Saturation,NaN,3.5,1.8,NaN,NaN,-2,NaN,5.00E+07,Ambient,1.65,-60,-40,5,-40,10,-60,10
32,2016,10.1038/srep24476 ,199,55,3.62,C6H4CL2,180,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,350,NaN,NaN,Au,1500,80,11.5,OTS-18,Spin-Coating,1500,150,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,NaN,1.16,NaN,NaN,NaN,9.7,NaN,2.00E+05,Ambient,NaN,NaN,-60,20,-60,0,-60,0
33,2016,10.1038/srep24476 ,199,55,3.62,C6H4CL2,180,NaN,NaN,100,4,PS,4,2.2,1.01,80,Ambient,N-Doped Si,SiO2,350,NaN,NaN,Au,1500,80,11.5,OTS-18,Spin-Coating,1500,150,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,NaN,3.39,NaN,NaN,NaN,6.4,NaN,2.00E+06,Ambient,NaN,NaN,-60,20,-60,0,-60,0
34,2016,10.1038/srep24476 ,199,55,3.62,C6H4CL2,180,NaN,NaN,100,4,PS,4,2.2,1.01,60,Ambient,N-Doped Si,SiO2,350,NaN,NaN,Au,1500,80,11.5,OTS-18,Spin-Coating,1500,150,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,NaN,5.8,NaN,NaN,NaN,6.3,NaN,3.00E+06,Ambient,NaN,NaN,-60,20,-60,0,-60,0
35,2016,10.1038/srep24476 ,199,55,3.62,C6H4CL2,180,NaN,NaN,100,4,PS,4,2.2,1.01,40,Ambient,N-Doped Si,SiO2,350,NaN,NaN,Au,1500,80,11.5,OTS-18,Spin-Coating,1500,150,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,NaN,6.76,NaN,NaN,NaN,1.7,NaN,1.00E+07,Ambient,NaN,NaN,-60,20,-60,0,-60,0
36,2016,10.1038/srep24476 ,199,55,3.62,C6H4CL2,180,NaN,NaN,100,4,PS,4,2.2,1.01,20,Ambient,N-Doped Si,SiO2,350,NaN,NaN,Au,1500,80,11.5,OTS-18,Spin-Coating,1500,150,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,NaN,2.57,NaN,NaN,NaN,4.6,NaN,1.00E+07,Ambient,NaN,NaN,-60,20,-60,0,-60,0
37,2016,10.1038/srep24476 ,199,55,3.62,C6H4CL2,180,NaN,NaN,100,4,PS,4,19.7,1.03,40,Ambient,N-Doped Si,SiO2,350,NaN,NaN,Au,1500,80,11.5,OTS-18,Spin-Coating,1500,150,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,NaN,-60,20,-60,0,-60,0
38,2016,10.1038/srep24476 ,199,55,3.62,C6H4CL2,180,NaN,NaN,100,4,PS,4,97.1,1.03,40,Ambient,N-Doped Si,SiO2,350,NaN,NaN,Au,1500,80,11.5,OTS-18,Spin-Coating,1500,150,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,NaN,-60,20,-60,0,-60,0
39,2016,10.1038/srep24476 ,199,55,3.62,C6H4CL2,180,NaN,NaN,100,4,PS,4,301.6,1.04,40,Ambient,N-Doped Si,SiO2,350,NaN,NaN,Au,1500,80,11.5,OTS-18,Spin-Coating,1500,150,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,NaN,-60,20,-60,0,-60,0
40,2020,10.1016/j.cplett.2020.137507 ,91,29,3.14,CHCL3,61.2,NaN,NaN,100,6.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,NaN,NaN,NaN,Au,3000,120,15,Untreated,Spin-Coating,1000,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,Ambient,BGBC,Saturation,50,3.00E-04,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,-60,-80,0,-80,0,-80,0
